TOWN,COUNTY,income_pc,median_household_income,population
HOLLAND,HAMPDEN,48470,90638,2591
HOLLISTON,MIDDLESEX,66563,142348,14891
HOLYOKE,HAMPDEN,25744,45045,38480
HOPEDALE,WORCESTER,46266,113300,6012
HOPKINTON,MIDDLESEX,85400,179192,18501
HUBBARDSTON,WORCESTER,41663,105938,4338
HUDSON,MIDDLESEX,48829,94191,20032
HULL,PLYMOUTH,63148,117120,10120
HUNTINGTON,HAMPSHIRE,34276,68542,2205
IPSWICH,ESSEX,66285,111701,13740
KINGSTON,PLYMOUTH,48940,103945,13618
LAKEVILLE,PLYMOUTH,47341,112240,11514
LANCASTER,WORCESTER,40875,109963,8428
LANESBOROUGH,BERKSHIRE,41710,75156,3043
LAWRENCE,ESSEX,23316,47542,87798
LEE,BERKSHIRE,39400,73750,5784
LEICESTER,WORCESTER,37653,83015,11077
LENOX,BERKSHIRE,47510,71117,5089
LEOMINSTER,WORCESTER,34523,84120,43478
LEVERETT,FRANKLIN,55346,97188,1794
LEXINGTON,MIDDLESEX,96170,202852,34235
LEYDEN,FRANKLIN,47244,97625,651
LINCOLN,MIDDLESEX,92567,145833,6941
LITTLETON,MIDDLESEX,66081,172022,12483
LONGMEADOW,HAMPDEN,74126,148010,15863
LOWELL,MIDDLESEX,36534,75130,114804
LUDLOW,HAMPDEN,49193,103498,21050
LUNENBURG,WORCESTER,45145,101205,11627
LYNN,ESSEX,29541,63922,100233
LYNNFIELD,ESSEX,67303,147237,12874
MALDEN,MIDDLESEX,30620,64489,65602
MANSFIELD,BRISTOL,55451,122274,23768
MARBLEHEAD,ESSEX,81072,154049,20397
MARION,PLYMOUTH,73957,99456,5293
MARLBOROUGH,MIDDLESEX,44775,86230,41505
MARSHFIELD,PLYMOUTH,67267,122914,25793
MASHPEE,BARNSTABLE,48569,83563,14996
MAYNARD,MIDDLESEX,55372,112432,10702
MEDFIELD,NORFOLK,88348,196820,12775
MEDFORD,MIDDLESEX,39485,94298,60708
MEDWAY,NORFOLK,66559,147257,13105
MELROSE,MIDDLESEX,44361,100337,29567
MENDON,WORCESTER,51840,133850,6212
MERRIMAC,ESSEX,43144,88832,6698
METHUEN,ESSEX,42944,72884,52536
MIDDLEBOROUGH,PLYMOUTH,43754,81809,24219
MIDDLEFIELD,HAMPSHIRE,46890,73636,342
MIDDLETON,ESSEX,59179,140511,9726
MILFORD,WORCESTER,41540,89332,30134
MILLBURY,WORCESTER,50498,95184,16245
MILLIS,NORFOLK,55899,131138,8481
MILLVILLE,WORCESTER,44560,82131,3166
MILTON,NORFOLK,66359,115807,28382
MONSON,HAMPDEN,41590,72305,8210
MONTAGUE,FRANKLIN,33442,65925,8565
MONTGOMERY,HAMPDEN,52281,104500,898
MOUNT WASHINGTON,BERKSHIRE,45724,92917,161
NAHANT,ESSEX,62128,161076,3334
NANTUCKET,NANTUCKET,77003,116406,13795
NATICK,MIDDLESEX,75343,140647,36627
NEEDHAM,NORFOLK,87067,182813,31808
NEW ASHFORD,BERKSHIRE,43074,68500,223
NEW BEDFORD,BRISTOL,27583,50581,100309
NEW BRAINTREE,WORCESTER,42015,86667,1052
